"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
0.000000000E0	-4.067269713E-2	-1.077199280E-1	9.798557281E0	9.799233779E0
4.964063000E-3	-3.110546805E-2	-1.101045460E-1	9.879913330E0	9.880575791E0
9.926563000E-3	-3.827849403E-2	-6.465302408E-2	9.906229019E0	9.906513950E0
1.489062500E-2	-5.502833053E-2	-4.550898820E-2	9.812912941E0	9.813172758E0
1.985312500E-2	-4.785530642E-2	-3.833595663E-2	9.956479073E0	9.956667881E0
2.481562500E-2	-3.349009156E-2	-1.919192076E-2	9.903836250E0	9.903911469E0
2.977968800E-2	-5.742253363E-2	-5.987419561E-2	9.855980873E0	9.856330009E0
3.474218800E-2	-2.871126682E-2	-4.790318757E-2	9.918190956E0	9.918348194E0
3.970625000E-2	-3.110546805E-2	-9.814312309E-2	9.879913330E0	9.880449738E0
4.466875000E-2	4.778826609E-3	-1.268543899E-1	9.855980873E0	9.856798357E0
4.963281300E-2	-2.392286249E-2	-7.899907976E-2	9.860768318E0	9.861113780E0
5.459531300E-2	-2.152866125E-2	-6.944143027E-2	9.887085915E0	9.887353209E0
5.955781300E-2	-2.384624910E-3	-1.412195861E-1	9.844018936E0	9.845032121E0
6.452187500E-2	-1.196143124E-2	-1.316427886E-1	9.827268600E0	9.828157561E0
6.948437500E-2	1.913446002E-2	-8.857589215E-2	9.920584679E0	9.920998548E0
7.444843800E-2	-2.392286249E-2	-5.987419561E-2	9.903836250E0	9.904046127E0
7.941093800E-2	9.567230009E-3	-8.378748596E-2	9.827268600E0	9.827630438E0
8.437500000E-2	2.392286249E-2	-8.139327914E-2	9.963662148E0	9.964023312E0
8.933750000E-2	-3.588429466E-2	-7.183562219E-2	1.006176662E1	1.006208704E1
9.430000000E-2	-3.588429466E-2	-2.637452446E-2	9.750701904E0	9.750803604E0
9.926406300E-2	8.216899820E-3	-7.820419967E-2	9.805242538E0	9.805557845E0
1.042265630E-1	2.122220397E-2	-1.072315052E-1	9.880467415E0	9.881072073E0
1.091906250E-1	-2.496673539E-2	-1.229566187E-1	9.941089630E0	9.941881346E0
1.141531250E-1	-4.860229418E-2	1.032379828E-2	9.660373688E0	9.660501465E0
1.191171880E-1	-3.027228639E-2	-6.969042122E-2	9.948224068E0	9.948514224E0
1.240796880E-1	-6.244078279E-3	-2.413068116E-1	1.005210304E1	1.005500092E1
1.290421880E-1	1.759259403E-2	-1.060631350E-1	9.648612976E0	9.649211950E0
1.340062500E-1	-6.250781566E-2	1.455674646E-3	9.948846817E0	9.949043287E0
1.389687500E-1	-7.046613842E-2	-7.981310785E-2	9.754198074E0	9.754779120E0
1.439328130E-1	-5.554548115E-4	-9.749189019E-2	9.673619270E0	9.674110541E0
1.488953130E-1	-6.540001929E-2	1.177947270E-3	9.923065186E0	9.923280769E0
1.538593750E-1	-2.360682935E-2	-7.535032183E-2	9.693462372E0	9.693783973E0
1.588218750E-1	-2.628833428E-2	-9.032844752E-2	9.894938469E0	9.895385673E0
1.637843750E-1	-1.783201471E-2	-1.955583990E-1	1.005519772E1	1.005711500E1
1.687484380E-1	6.268977374E-2	-1.245559454E-1	9.758814812E0	9.759810998E0
1.737109380E-1	-8.264783770E-3	3.705266491E-2	9.914360046E0	9.914432729E0
1.786750000E-1	-5.305550992E-2	-7.575253956E-3	9.795818329E0	9.795964935E0
1.836375000E-1	-3.955221176E-2	-1.174020767E-1	9.951498985E0	9.952270077E0
1.886015630E-1	-7.536946796E-3	-3.232555091E-1	9.894479752E0	9.899761638E0
1.935640630E-1	9.719501436E-2	-2.761855125E-1	9.879223824E0	9.883561537E0
1.985265630E-1	8.817365766E-2	2.719813213E-2	9.857062340E0	9.857494220E0
2.034906250E-1	-7.475655526E-2	-1.422634572E-1	9.836012840E0	9.837325654E0
2.084531250E-1	2.187342569E-2	-3.485861719E-1	9.988303185E0	9.994408000E0
2.134171880E-1	5.523902178E-2	-3.478870988E-1	9.982777596E0	9.988990204E0
2.183796880E-1	-1.523669995E-2	-7.226658612E-2	9.689640999E0	9.689922461E0
2.233421880E-1	-5.827486888E-2	1.451843828E-1	9.783177376E0	9.784428140E0
2.283062500E-1	-9.499234706E-2	-4.047158360E-2	9.948559761E0	9.949095578E0
2.332687500E-1	-3.463931009E-2	-1.896207780E-1	9.915874481E0	9.917747862E0
2.382328130E-1	5.023992807E-2	-3.246058524E-1	1.003471184E1	1.004008639E1
2.431953130E-1	3.749319911E-2	-1.349180639E-1	9.781070709E0	9.782073034E0
2.481593750E-1	1.551442686E-2	4.933971167E-2	9.858843803E0	9.858979473E0
2.531218750E-1	-6.089891493E-2	-1.721814126E-1	1.005345440E1	1.005511315E1
2.580843750E-1	3.236960620E-2	-2.382805347E-1	9.868506432E0	9.871435792E0
2.630484380E-1	9.384313226E-2	-2.231300175E-1	9.982221603E0	9.985156067E0
2.680109380E-1	3.978205472E-2	-9.042420983E-2	9.768677711E0	9.769177211E0
2.729750000E-1	-2.873042040E-2	1.061684787E-1	9.753738403E0	9.754358514E0
2.779375000E-1	-6.479667872E-2	-7.604942471E-2	9.867300034E0	9.867805839E0
2.829015630E-1	1.202846877E-2	-2.788574398E-1	9.998033524E0	1.000192884E1
2.878640630E-1	5.438668281E-2	-2.999934554E-1	9.996471405E0	1.000111966E1
2.928265630E-1	1.235025004E-1	-1.433839500E-1	9.623781204E0	9.625641615E0
2.977906250E-1	-1.506431680E-2	1.129105594E-2	9.965979576E0	9.965997358E0
3.027531250E-1	-4.353616387E-2	1.663491316E-2	9.838626862E0	9.838737248E0
3.077171880E-1	3.164177015E-2	-1.595687568E-1	9.967157364E0	9.968484805E0
3.126796880E-1	4.129519314E-2	-2.055661678E-1	9.988552094E0	9.990752508E0
3.176437500E-1	3.593217954E-2	-6.791871786E-2	9.612930298E0	9.613237383E0
3.226062500E-1	-4.061523825E-2	-9.002198465E-3	1.001688957E1	1.001697596E1
3.275687500E-1	-8.319371939E-2	-3.771346807E-2	9.833139420E0	9.833563665E0
3.325328130E-1	-7.141424716E-2	-2.605849132E-2	9.897064209E0	9.897356162E0
3.374953130E-1	-5.294058472E-2	-9.457097203E-2	9.977068901E0	9.977657552E0
3.424593750E-1	-4.815218225E-2	-6.904877722E-2	9.764176369E0	9.764539238E0
3.474218750E-1	-4.336377978E-2	-1.016003415E-1	9.935688019E0	9.936302102E0
3.523859380E-1	2.088701539E-2	-1.230811253E-1	9.851517677E0	9.852308652E0
