"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.196143124E-2,-8.857589215E-2,9.693270683E0,9.693682752E0
4.962500000E-3,-6.221093610E-2,-9.624690749E-3,9.736336708E0,9.736540213E0
9.926563000E-3,-4.785530642E-2,-7.230489049E-3,9.736336708E0,9.736457000E0
1.488906300E-2,-4.067269713E-2,-3.594175726E-2,9.693270683E0,9.693422647E0
1.985156300E-2,-4.306689650E-2,-2.637452446E-2,9.753087044E0,9.753217790E0
2.481562500E-2,-5.023992807E-2,-1.679771952E-2,9.695664406E0,9.695809120E0
2.977812500E-2,-5.263412744E-2,-8.378748596E-2,9.757875443E0,9.758377111E0
3.474218800E-2,-6.221093610E-2,-3.115335293E-2,9.757875443E0,9.758123482E0
3.970468800E-2,-2.631706372E-2,-5.029739067E-2,9.693270683E0,9.693436901E0
4.466718800E-2,-2.871126682E-2,-7.661445439E-2,9.721981049E0,9.722325320E0
4.963125000E-2,-3.349009156E-2,-1.200931519E-2,9.772231102E0,9.772295867E0
5.459531300E-2,-5.502833053E-2,-6.704722345E-2,9.721981049E0,9.722367971E0
5.955781300E-2,-4.067269713E-2,-4.836287349E-3,9.765057564E0,9.765143464E0
6.452031300E-2,-3.588429466E-2,-5.987419561E-2,9.731558800E0,9.731809147E0
6.948437500E-2,-4.306689650E-2,-5.508579314E-2,9.731558800E0,9.731810000E0
7.444687500E-2,-7.417237014E-2,-4.312435910E-2,9.731558800E0,9.731937008E0
7.940937500E-2,-4.785530642E-2,-2.158612199E-2,9.760269165E0,9.760410353E0
8.437343800E-2,-6.460513920E-2,-3.594175726E-2,9.710020065E0,9.710301504E0
8.933593800E-2,-9.567230009E-3,-7.899907976E-2,9.800942421E0,9.801265466E0
9.430000000E-2,1.026633661E-2,-3.281971812E-2,9.797005653E0,9.797066005E0
9.926250000E-2,-5.470272154E-2,-2.985090576E-2,9.721138954E0,9.721338695E0
1.042250000E-1,-5.740338191E-2,-7.252515107E-2,9.652521133E0,9.652964274E0
1.091890630E-1,-6.381026655E-2,-6.279512495E-2,9.699379921E0,9.699793082E0
1.141515630E-1,-5.246174708E-2,-2.997540496E-2,9.784126282E0,9.784312845E0
1.191156250E-1,-6.337931007E-2,1.467166841E-2,9.801239014E0,9.801454912E0
1.240796880E-1,-3.367205337E-2,7.651868742E-3,9.800712585E0,9.800773415E0
1.290421880E-1,-6.096595526E-2,-4.850652814E-2,9.711897850E0,9.712210334E0
1.340046880E-1,-9.503065795E-2,-5.167644843E-2,9.702177048E0,9.702780052E0
1.389687500E-1,-5.586151406E-2,-4.284663498E-2,9.735206604E0,9.735461158E0
1.439296880E-1,-4.163037986E-2,-3.695689887E-2,9.726588249E0,9.726747548E0
1.488937500E-1,6.799533032E-3,-2.452620305E-2,9.760901451E0,9.760934633E0
