"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.555273384E-1,-1.747192740E-1,9.834442139E0,9.837223580E0
4.962500000E-3,1.244218722E-1,-1.723250598E-1,9.834442139E0,9.836738733E0
9.925000000E-3,1.268160790E-1,-2.345359921E-1,9.827268600E0,9.830884884E0
1.488906200E-2,1.411717087E-1,-2.034305334E-1,9.827268600E0,9.830387662E0
1.985312500E-2,1.100662351E-1,-2.656414807E-1,9.834442139E0,9.838644833E0
2.481562500E-2,1.172392666E-1,-2.082189322E-1,9.820085526E0,9.822992411E0
2.977812500E-2,1.172392666E-1,-1.771038771E-1,9.786586761E0,9.788891218E0
3.474218700E-2,1.316044778E-1,-1.723250598E-1,9.822480202E0,9.824873179E0
3.970468700E-2,1.124604419E-1,-2.129977643E-1,9.844018936E0,9.846965229E0
4.466875000E-2,1.627099514E-1,-1.890748888E-1,9.765057564E0,9.768243090E0
4.963125000E-2,1.172392666E-1,-2.034305334E-1,9.867941856E0,9.870734801E0
5.459531200E-2,1.339891106E-1,-2.034305334E-1,9.824874878E0,9.827894150E0
5.955781200E-2,1.292102784E-1,-1.938537359E-1,9.829663277E0,9.832423643E0
6.452187500E-2,1.292102784E-1,-1.124987453E-1,9.872730255E0,9.874216625E0
6.948437500E-2,1.172392666E-1,-2.010363340E-1,9.827268600E0,9.830023845E0
7.444687500E-2,1.459601074E-1,-2.464974374E-1,9.781807899E0,9.786001794E0
7.941093700E-2,8.613379300E-2,-2.010363340E-1,9.870335579E0,9.872758433E0
8.437343700E-2,1.076720357E-1,-1.771038771E-1,9.760269165E0,9.762469627E0
8.933593700E-2,1.387775093E-1,-1.914691031E-1,9.753087044E0,9.755953387E0
9.430000000E-2,1.145290285E-1,-1.934036165E-1,9.819070816E0,9.821643119E0
9.926250000E-2,1.427039951E-1,-1.517157704E-1,9.825114250E0,9.827321717E0
1.042265620E-1,1.378485560E-1,-1.904156506E-1,9.805558205E0,9.808375607E0
1.091890620E-1,1.203708872E-1,-2.241355926E-1,9.786730766E0,9.790037028E0
1.141531250E-1,1.403002143E-1,-1.894866973E-1,9.794966698E0,9.797803936E0
1.191156250E-1,1.375899762E-1,-1.866232306E-1,9.807703018E0,9.810443299E0
1.240796870E-1,1.163198948E-1,-1.930971593E-1,9.789325714E0,9.791920893E0
1.290421870E-1,1.370632648E-1,-2.050681561E-1,9.765345573E0,9.768460137E0
1.340046870E-1,1.464772671E-1,-2.297667563E-1,9.871045113E0,9.874805313E0
1.389687500E-1,1.370536834E-1,-2.233598679E-1,9.806046486E0,9.809547442E0
1.439312500E-1,1.061110198E-1,-2.092149258E-1,9.805481911E0,9.808287615E0
1.488937500E-1,9.399636090E-2,-1.628248692E-1,9.846287727E0,9.848082517E0
1.538578120E-1,1.416409761E-1,-1.796896160E-1,9.776397705E0,9.779074732E0
1.588203120E-1,1.407982111E-1,-1.814804822E-1,9.752004623E0,9.754709297E0
1.637843750E-1,1.180820316E-1,-1.843439490E-1,9.804906845E0,9.807350524E0
1.687468750E-1,9.108500928E-2,-1.417463273E-1,9.853097916E0,9.854538398E0
1.737109370E-1,1.205241159E-1,-2.066483349E-1,9.773236275E0,9.776163710E0
1.786734370E-1,1.826775968E-1,-2.816539109E-1,9.788444519E0,9.794199617E0
1.836359370E-1,1.535832584E-1,-2.298433632E-1,9.817003250E0,9.820894491E0
1.886000000E-1,1.187811345E-1,-1.977993548E-1,9.794851303E0,9.797568351E0
1.935625000E-1,1.457781494E-1,-1.822945029E-1,9.746182442E0,9.748977113E0
1.985265620E-1,1.290857792E-1,-2.219424993E-1,9.832795143E0,9.836146702E0
2.034890620E-1,1.292869002E-1,-1.550676525E-1,9.816591263E0,9.818667175E0
2.084531250E-1,1.631313264E-1,-1.559487134E-1,9.786672592E0,9.789274348E0
2.134156250E-1,1.390073597E-1,-2.062556893E-1,9.816266060E0,9.819416674E0
2.183781250E-1,1.152281389E-1,-1.353681684E-1,9.848548889E0,9.850153161E0
2.233421870E-1,9.967540950E-2,-1.861060858E-1,9.781012535E0,9.783290698E0
2.283046870E-1,1.223628595E-1,-1.977419108E-1,9.780284882E0,9.783048957E0
2.332687500E-1,1.111388430E-1,-1.674696207E-1,9.863698959E0,9.865746554E0
2.382312500E-1,1.368429810E-1,-2.164358348E-1,9.758631706E0,9.761990742E0
2.431937500E-1,1.211561784E-1,-2.336932421E-1,9.791269302E0,9.794807089E0
2.481593750E-1,1.035827398E-1,-1.438244730E-1,9.819070816E0,9.820670372E0
2.531203120E-1,1.660714149E-1,-1.859145463E-1,9.765642166E0,9.768823412E0
2.580843750E-1,1.664640456E-1,-2.446203828E-1,9.864446640E0,9.868883266E0
2.630468750E-1,1.109281555E-1,-1.863359362E-1,9.826043129E0,9.828435771E0
2.680109370E-1,1.306276470E-1,-2.230534106E-1,9.794219971E0,9.797630389E0
2.729734370E-1,1.344679445E-1,-1.988240778E-1,9.886884689E0,9.889797849E0
2.779375000E-1,1.357416511E-1,-1.963724196E-1,9.834125519E0,9.837022550E0
2.829000000E-1,1.432498842E-1,-2.067728490E-1,9.809197426E0,9.812422213E0
2.878625000E-1,1.055555642E-1,-2.220765650E-1,9.822154999E0,9.825232252E0
2.928265620E-1,1.454238147E-1,-2.208220065E-1,9.795110703E0,9.798678693E0
2.977906250E-1,1.463719159E-1,-2.324195206E-1,9.807599068E0,9.811444493E0
3.027531250E-1,1.265096217E-1,-2.297954857E-1,9.783034325E0,9.786550528E0
3.077156250E-1,1.525298059E-1,-1.914691031E-1,9.831827164E0,9.834874231E0
3.126781250E-1,1.535928398E-1,-2.254475951E-1,9.838598251E0,9.842379434E0
3.176421870E-1,1.548952758E-1,-1.693466753E-1,9.763237953E0,9.765934987E0
3.226046870E-1,1.071548909E-1,-1.809920669E-1,9.896049500E0,9.898284498E0
3.275687500E-1,1.293156296E-1,-2.441894263E-1,9.865260124E0,9.869129056E0
3.325312500E-1,1.503558606E-1,-2.291634083E-1,9.793539047E0,9.797373619E0
3.374937500E-1,1.276588291E-1,-2.195674479E-1,9.840666771E0,9.843943780E0
3.424578120E-1,7.515878230E-2,-1.845259070E-1,9.823237419E0,9.825257862E0
3.474218750E-1,1.073847339E-1,-1.522233486E-1,9.877125740E0,9.878882341E0
3.523859370E-1,1.461229175E-1,-1.284154058E-1,9.803451538E0,9.805381404E0
3.573484370E-1,1.097023264E-1,-1.936238855E-1,9.756505966E0,9.759043676E0
3.623109370E-1,1.315853298E-1,-1.961617321E-1,9.839661598E0,9.842496355E0
3.672750000E-1,1.188577488E-1,-1.814421862E-1,9.830390930E0,9.832783648E0
3.722375000E-1,1.202272326E-1,-1.822274774E-1,9.816341400E0,9.818768758E0
3.772015620E-1,1.234163046E-1,-2.347275317E-1,9.769885063E0,9.773483655E0
3.821640620E-1,1.081987619E-1,-1.833862811E-1,9.795291901E0,9.797605877E0
3.871281250E-1,1.285015941E-1,-2.189736962E-1,9.775583267E0,9.778879811E0
3.920890620E-1,1.233780012E-1,-1.998583823E-1,9.780257225E0,9.783077067E0
3.970531250E-1,1.252263188E-1,-1.806856096E-1,9.787246704E0,9.789715367E0
4.020156250E-1,1.641560495E-1,-1.913158745E-1,9.754207611E0,9.757464583E0
4.069781250E-1,1.148450673E-1,-1.682070345E-1,9.788330078E0,9.790448852E0
4.119421870E-1,1.552208811E-1,-1.627578288E-1,9.838339806E0,9.840910210E0
4.169046870E-1,1.578832418E-1,-1.584865749E-1,9.805921555E0,9.808473003E0
4.218687500E-1,1.069537848E-1,-2.042924464E-1,9.816198349E0,9.818906484E0
4.268312500E-1,1.655829996E-1,-2.027505785E-1,9.797609329E0,9.801105759E0
4.317953120E-1,1.477222443E-1,-2.273150831E-1,9.746172905E0,9.749942579E0
4.367578120E-1,1.127094403E-1,-1.827637851E-1,9.796689987E0,9.799042847E0
